Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate
SURGE,0.9002834645669291,0.05086071987480438,brawlBall,5,0,0.053763440860215055,NaN,1
GALE,0.9001135790005048,0.022952529994783515,brawlBall,2,0,0.021505376344086023,NaN,1
BO,0.9001135790005048,0.0198226395409494,brawlBall,2,0,0.021505376344086023,NaN,1
COLETTE,0.9001135790005048,0.0198226395409494,brawlBall,2,0,0.021505376344086023,NaN,1
MORTIS,0.9000568217690511,0.009128847157016172,brawlBall,1,0,0.010752688172043012,NaN,1
FANG,0.9000568217690511,0.011606677099634847,brawlBall,1,0,0.010752688172043012,NaN,1
SHELLY,0.9000568217690511,0.011606677099634847,brawlBall,1,0,0.010752688172043012,NaN,1
RICO,0.8995456839979808,0.018779342723004695,brawlBall,1,0,0.021505376344086023,NaN,0.5
COLT,0.8995456839979808,0.019300991131977047,brawlBall,1,0,0.021505376344086023,NaN,0.5
MAX,0.8994886040785403,0.009650495565988524,brawlBall,0,0,0.010752688172043012,NaN,0
SQUEAK,0.8994886040785403,0.009128847157016172,brawlBall,0,0,0.010752688172043012,NaN,0
SANDY,0.8990923988402874,0.04681794470526865,brawlBall,2,0.25,0.043010752688172046,NaN,0.5
POCO,0.8990351264425805,0.028951486697965573,brawlBall,1,0.3333333333333333,0.03225806451612903,NaN,0.3333333333333333
LEON,0.8990351264425805,0.03286384976525822,brawlBall,1,0,0.03225806451612903,NaN,0.3333333333333333
SPIKE,0.8990351264425805,0.03482003129890454,brawlBall,1,0.3333333333333333,0.03225806451612903,NaN,0.3333333333333333
BEA,0.8989777889954568,0.023474178403755867,brawlBall,0,0,0.021505376344086023,NaN,0
LOU,0.8989777889954568,0.023213354199269693,brawlBall,0,0,0.021505376344086023,NaN,0
KENJI,0.8989777889954568,0.023213354199269693,brawlBall,0,0,0.021505376344086023,NaN,0
EMZ,0.8986975397973951,0.07394366197183098,brawlBall,4,0.2857142857142857,0.07526881720430108,NaN,0.5714285714285714
AMBER,0.8986401410224125,0.06846635367762129,brawlBall,3,0,0.06451612903225806,NaN,0.5
GRIFF,0.898525148115467,0.044861763171622326,brawlBall,1,0.25,0.043010752688172046,NaN,0.25
BROCK,0.898525148115467,0.042383933229003655,brawlBall,1,0,0.043010752688172046,NaN,0.25
STU,0.8981312527527843,0.07720396452790819,brawlBall,3,0.14285714285714285,0.07526881720430108,NaN,0.42857142857142855
MELODIE,0.8980735331150843,0.06677099634846113,brawlBall,2,0,0.06451612903225806,NaN,0.3333333333333333
CHESTER,0.8979578973906467,0.046948356807511735,brawlBall,0,0,0.043010752688172046,NaN,0
CARL,0.8976229405106276,0.09389671361502347,brawlBall,3,0,0.08602150537634409,NaN,0.375
SAM,0.7101300111762887,0.009780907668231613,brawlBall,1,0,0.010752688172043012,NaN,1
BUZZ,0.5901527541851112,0.007172665623369849,brawlBall,1,0,0.010752688172043012,NaN,1
GENE,0.5901527541851112,0.007172665623369849,brawlBall,1,0,0.010752688172043012,NaN,1
TICK,0.5901527541851112,0.007172665623369849,brawlBall,1,1,0.010752688172043012,NaN,1
FRANK,0.5727564041910314,0.03821074595722483,brawlBall,3,0.25,0.043010752688172046,NaN,0.75