Brawler,Adjusted Win Rate,Use Rate,Mode,Wins Recorded,Star Player Rate,metric.pickRate,metric.trophyChange,Win Rate,Map
CHUCK,0.7717582945984934,0.000545178403844,bounty,557.0,0.0976331360946745,0.0005507962917395,4.0049504950495045,0.5493096646942801,DrySeason
DOUG,0.7437677948634182,0.0002722061937037,bounty,292.0,0.15,0.0002824596367894,3.908366533864542,0.5615384615384615,DrySeason
PAM,0.7380986602952182,0.0005695621875542,bounty,655.0,0.0980392156862745,0.0005817582134645,5.296671490593343,0.611577964519141,DrySeason
ASH,0.737002670208729,0.000543208647293,bounty,584.0,0.1425742574257425,0.0005486235253026,4.91725768321513,0.5782178217821782,DrySeason
ROSA,0.7363755052750104,0.00048755980617,bounty,552.0,0.0872410032715376,0.000498106705646,4.58587786259542,0.6019629225736096,DrySeason
SAM,0.7301543696442787,0.0010036231483137,bounty,1073.0,0.1478260869565217,0.0009994725609474,4.45021645021645,0.5831521739130435,DrySeason
DRACO,0.7109513466890732,0.0003346397518359,bounty,375.0,0.1181959564541213,0.0003492722047223,4.217910447761194,0.583203732503888,DrySeason
CLANCY,0.7015328161652727,0.0003286532368278,bounty,333.0,0.1218354430379746,0.000343297097021,4.261083743842365,0.5268987341772152,DrySeason
MOE,0.6881522668466433,0.0013837861626623,bounty,1488.9999999999998,0.156078431372549,0.0013851386034869,4.610912343470483,0.5839215686274509,DrySeason
RUFFS,0.6880431609112065,0.0014544656624345,bounty,1520.0,0.1104410101771579,0.0014410873392356,4.825454545454545,0.5729362985299661,DrySeason
FINX,0.687397013977327,0.0024976899293821,bounty,3023.0,0.2112886048988285,0.0025502846052436,6.489856020942408,0.6438764643237487,DrySeason
BULL,0.6858222395564854,0.0006429581489752,bounty,699.0,0.1009538950715421,0.0006833350443869,4.537918871252205,0.5556438791732909,DrySeason
WILLOW,0.6830534188526659,0.0009262683624519,bounty,1021.0,0.0900339750849377,0.0009592763818658,4.2359963269054175,0.5781426953567383,DrySeason
MEG,0.6720324914694168,0.0010842608617606,bounty,1201.0,0.0909090909090909,0.0011233202478474,5.175172413793104,0.5807543520309478,DrySeason
BUSTER,0.6690210427054991,0.0031098143075095,bounty,3342.0,0.1184706515885837,0.0030261204549121,4.333333333333333,0.5998922994076468,DrySeason
BONNIE,0.6683173067620154,0.0024146704841578,bounty,2693.0,0.1928170594837261,0.0024199186190331,4.338413578108764,0.6044893378226711,DrySeason
JACKY,0.6675710753155133,0.0006120664441112,bounty,644.0,0.1305070656691604,0.0006534595058803,3.759103641456583,0.5353283458021613,DrySeason
CHARLIE,0.6673266697051352,0.001234309963736,bounty,1262.0,0.0767184035476718,0.0012248970787698,4.213768115942029,0.5596452328159646,DrySeason
OLLIE,0.665542993202114,0.0113838475083484,bounty,12983.0,0.0726884284791573,0.0109328175185812,5.882900224574912,0.6450539076861926,DrySeason
SHADE,0.6651658408794766,0.0010206750604172,bounty,1115.0,0.1588265048052605,0.0010738898114093,4.988625592417062,0.56398583712696,DrySeason
LOLA,0.6633045321390199,0.00141594597877,bounty,1501.0,0.1334338484734263,0.0014410873392356,4.25253312548714,0.5657745947983415,DrySeason
MR. P,0.6616358975387217,0.026273217966237,bounty,30724.0,0.1063331559340074,0.0255164258426667,5.439389631314567,0.6540500266098989,DrySeason
LARRY & LAWRIE,0.6392429366269887,0.0025129973838865,bounty,2745.0,0.1168253968253968,0.0025665803535199,4.561490683229814,0.580952380952381,DrySeason
TARA,0.6370168450093001,0.0044558532400567,bounty,5368.0,0.1205730659025788,0.0047393467903622,4.315094339622641,0.615243553008596,DrySeason
LUMI,0.6344830554662202,0.0138629856783185,bounty,15868.0,0.2238800125313283,0.0138709409328012,6.230792636543435,0.6213972431077694,DrySeason
OTIS,0.6312637443378891,0.0018525689104684,bounty,1868.0,0.1130358191426893,0.0018501106209712,4.261510128913444,0.5484439224897241,DrySeason
GROM,0.6287190867483384,0.0241844198861291,bounty,27179.0,0.2443228454172366,0.0238243839799757,4.301374427321949,0.6196762425900593,DrySeason
SANDY,0.628298469185345,0.0011006819367987,bounty,1225.0,0.1249415067852129,0.0011608004688829,5.30638852672751,0.5732335049134301,DrySeason
HANK,0.625454384647204,0.0041177181359096,bounty,4352.0,0.1323723882570748,0.0041076149488503,4.316846986089645,0.5755091245702195,DrySeason
EVE,0.6246175335423464,0.0040580074765392,bounty,4173.0,0.0877674163466813,0.0039609532143635,4.367167919799499,0.5722709818979704,DrySeason
MICO,0.6224187986610772,0.0050216883392349,bounty,5417.0,0.1162942069863311,0.005007140253703,4.4,0.5876545888479062,DrySeason
GALE,0.6182416452750401,0.0040974476673502,bounty,4842.0,0.1050049067713444,0.0044280979982846,4.161369193154035,0.5939646712463199,DrySeason
AMBER,0.6144714275857958,0.0016706239140147,bounty,1756.0000000000002,0.1673886138613861,0.0017555952809685,4.435399551904406,0.5433168316831684,DrySeason
SQUEAK,0.6101128253839728,0.0310836853194951,bounty,33823.0,0.1550134631501988,0.0304616422529197,4.677055883689232,0.6031312969204159,DrySeason
MEEPLE,0.6095267463773651,0.0117162857675684,bounty,12402.0,0.1658608266970041,0.0114591701879062,5.600948509485095,0.5878839590443686,DrySeason
BIBI,0.6091989417499856,0.0025137440889842,bounty,2677.0,0.1383855024711696,0.0026377384543265,3.268082282680823,0.5512767710049423,DrySeason
CARL,0.6081390826405327,0.0306349928010869,bounty,32643.0,0.1401294913886392,0.0296153497257697,4.600767041939874,0.598723427670072,DrySeason
KENJI,0.6064906470053265,0.0040434081044551,bounty,4188.0,0.1162075421235624,0.0040619868536766,4.001950268161872,0.5600427921904253,DrySeason
SPROUT,0.6051931197819547,0.0142003418918032,bounty,14884.999999999998,0.1421744796808972,0.0137541547368209,4.747705753823744,0.5878519805694877,DrySeason
BERRY,0.604965724037574,0.0014648873482388,bounty,1358.0,0.054122775154377,0.0014954065001567,4.367387033398821,0.4932800581184163,DrySeason
8-BIT,0.6047509307499629,0.0054418258247661,bounty,6026.0,0.1130643611911623,0.005654624651882,4.512814645308924,0.578866474543708,DrySeason
R-T,0.6018865816481254,0.0068399410007703,bounty,6797.0,0.0667543571193686,0.0066073827344374,4.923360353721445,0.558780006576784,DrySeason
GRIFF,0.5996788121511599,0.0020748231079762,bounty,2162.0,0.1282306163021868,0.0021858030354633,4.304666056724611,0.5372763419483101,DrySeason
POCO,0.599088591190371,0.0031971144328201,bounty,3329.0,0.083745466534784,0.0032950003014713,3.763746505125816,0.5487965710517639,DrySeason
SHELLY,0.5976779368311175,0.0018076764850211,bounty,1929.0,0.0878062207541976,0.001973415116262,2.974131559497413,0.5309661436829067,DrySeason
BARLEY,0.5976592839200859,0.0025938668333981,bounty,2670.0,0.1123936816524908,0.0026822801662818,4.31959852086635,0.5407047387606319,DrySeason
TICK,0.5961942213327329,0.0225272366638743,bounty,24338.0,0.1111647555823777,0.022501712411548,4.157471583032992,0.5875196137598069,DrySeason
EL PRIMO,0.5961594491714173,0.0015528247477277,bounty,1623.0,0.0798600063633471,0.0017072512277488,3.1194244604316546,0.5163856188355075,DrySeason
PEARL,0.5941773483165192,0.0063494909309028,bounty,6266.0,0.1258208563173102,0.0062037913687939,4.940084835630965,0.5486384729883548,DrySeason
LILY,0.5911463819300097,0.0054719322018549,bounty,5573.0,0.1404334608218103,0.0055389248391202,3.45059507334625,0.5465332941061096,DrySeason
NITA,0.5903856370051921,0.0011594399034582,bounty,1251.0,0.0987341772151898,0.001287364113829,3.960081883316274,0.5278481012658228,DrySeason
ANGELO,0.5890145395926515,0.0193408915209556,bounty,19843.0,0.1158892549563609,0.0187955160619042,4.452295613585936,0.5734639616207156,DrySeason
JANET,0.5880145120221855,0.0109990304613645,bounty,11067.0,0.1266061594941872,0.0106530738398377,4.965189189189189,0.5642973689577809,DrySeason
LOU,0.5858605989210736,0.0029786967546078,bounty,2728.0,0.0504829597229815,0.0029804923597384,4.052581261950287,0.4971751412429379,DrySeason
MAISIE,0.5857540450360834,0.0055720486189731,bounty,5813.0,0.1352952417351423,0.0056850433819978,3.78095663835494,0.5554175425186317,DrySeason
FRANK,0.5843957710985689,0.0026745882293129,bounty,2922.0,0.1104026234286755,0.0029815787429568,3.242305540011192,0.5323374020768811,DrySeason
BO,0.582443343370963,0.0100563217125356,bounty,10692.0,0.1296423115419059,0.0103114063176443,3.4330626146188106,0.563240794394985,DrySeason
BROCK,0.5802979634221848,0.0525137482731076,bounty,55110.00000000001,0.1583467413335562,0.0519910416839809,3.767075021682567,0.5757778381428005,DrySeason
CORDELIUS,0.5797647005489457,0.0017527099778668,bounty,1602.0,0.1282051282051282,0.0017794957117738,3.7235772357723578,0.489010989010989,DrySeason
MANDY,0.5796461250662184,0.0600057688118493,bounty,62516.99999999999,0.2129903110939354,0.0590346072806144,3.597266249818235,0.5752339415353189,DrySeason
JESSIE,0.5771580831966681,0.0046710330504743,bounty,5006.0,0.1155369718309859,0.0049365253445056,3.886751202448623,0.5508362676056338,DrySeason
SPIKE,0.5762813205341831,0.0232561302702228,bounty,25464.0,0.1339765401146131,0.0242654555666547,3.314890926335757,0.5700214899713467,DrySeason
GRAY,0.5754484833413935,0.0398971614565736,bounty,40328.0,0.116331096196868,0.0386062572414231,4.210941906373378,0.5674165998339735,DrySeason
EMZ,0.5751403780521035,0.0069240290067379,bounty,8351.0,0.205114437210551,0.0080930117856283,3.4128128977513787,0.5605074166051413,DrySeason
JUJU,0.5745841070613099,0.0133040382899559,bounty,13132.0,0.0848528235145492,0.0128991711439235,5.028809028809029,0.5529961679370026,DrySeason
MORTIS,0.5670331627789115,0.0222339489253841,bounty,22760.0,0.1757965820717228,0.0222811766182085,2.549982894286692,0.5548648187425339,DrySeason
CHESTER,0.5670246945873674,0.0078626051290774,bounty,7938.999999999999,0.116077475281051,0.0080207673016033,3.936195826645265,0.537654070161181,DrySeason
DARRYL,0.5653433277020573,0.0056190009205522,bounty,5574.000000000001,0.0770674927250539,0.0057866202129202,3.3732647814910024,0.5232328921430583,DrySeason
GUS,0.5649857924367,0.031334488112767,bounty,31413.0,0.1118387285180793,0.0306908691120066,4.126468019023585,0.555972460664413,DrySeason
MELODIE,0.5644427617356829,0.006040039601891,bounty,5683.0,0.1058133137722354,0.0059240476900505,3.4156378600823047,0.5210893086374473,DrySeason
PENNY,0.5627655769801965,0.0215260338700153,bounty,21627.0,0.1021037082314588,0.0213278753440439,4.488372093023256,0.550809902200489,DrySeason
BUZZ,0.5625918916233613,0.0038968479176779,bounty,3816.000000000001,0.0984919257974109,0.0040701347278148,2.9274151436031333,0.5092753236353931,DrySeason
BYRON,0.5624635409365307,0.0232154799021844,bounty,23333.0,0.1243691930387209,0.0230345833801836,3.643071643071643,0.5502287412158656,DrySeason
MAX,0.5619711185132062,0.0078316554901971,bounty,7655.000000000001,0.0609487038058466,0.0078784510999901,3.2940067057837386,0.5277854384997243,DrySeason
KIT,0.5617253083948704,0.0069754872873553,bounty,6720.0,0.0910084295972525,0.0069593708972058,3.0604026845637584,0.5245082734935997,DrySeason
COLETTE,0.5614253734475464,0.0031008216607716,bounty,2985.0,0.0739812959251837,0.0032526313559529,3.690058479532164,0.498496993987976,DrySeason
LEON,0.5581235917153293,0.0384482767710337,bounty,40013.0,0.1000303456647079,0.0393803052845482,3.650230777890352,0.5519186736185826,DrySeason
PIPER,0.5557444038295968,0.0721956201021174,bounty,73067.0,0.1689321415348812,0.0718908662874102,2.9804439746300213,0.5520782174402526,DrySeason
NANI,0.5539967892488712,0.0167614116349155,bounty,16296.999999999998,0.1276399763142312,0.016511938536783,3.7591230747884,0.5361207974208829,DrySeason
FANG,0.5537265156433879,0.0068840159128778,bounty,6782.000000000001,0.1222777991535205,0.0070587749616914,2.9825596994902064,0.5218930357829935,DrySeason
BELLE,0.5528116917539728,0.0257721788456295,bounty,25211.0,0.1032663695282389,0.0252274479065666,4.12368037859483,0.5428374566673126,DrySeason
CROW,0.5506010805838368,0.0088821730060738,bounty,9072.0,0.091754458242599,0.0092293686320968,3.2781174726700018,0.5339297275027955,DrySeason
EDGAR,0.548950826480595,0.0158812716235899,bounty,16906.0,0.1835674917964892,0.0170502414215107,2.437676254935138,0.5385963235528369,DrySeason
BEA,0.54792135086237,0.0232595419400661,bounty,22881.0,0.1463192121453133,0.0232208981021428,3.5091249065071053,0.5352405904231677,DrySeason
DYNAMIKE,0.5477162115615964,0.0122919439010501,bounty,12741.0,0.1502009377093101,0.0129757611608221,2.7912113735166257,0.5333640321500335,DrySeason
SURGE,0.5442565299034603,0.0059813653176994,bounty,5977.999999999999,0.1284324696565378,0.0063102569241992,3.14338606529788,0.5145906860635275,DrySeason
STU,0.5417881151641316,0.0152086834438814,bounty,14963.999999999998,0.0949824561403508,0.0154809608625013,2.9972186167253847,0.5250526315789473,DrySeason
GENE,0.5356441875919542,0.0465873430254496,bounty,44673.00000000001,0.0517664347764254,0.045833964793579,4.398651619522204,0.5294326787470817,DrySeason
RICO,0.5259900915244786,0.0123099291945259,bounty,12076.0,0.1250052807232478,0.0128578885816235,2.724438701340656,0.510160111528875,DrySeason
COLT,0.5179878910419355,0.0248065217892699,bounty,24134.0,0.1356043028896857,0.0257527141926733,2.379821541488091,0.5090487238979118,DrySeason
